51300010650,bee,214,140
51300038869,bdf,232,291
51300047213,ebe,181,174
51300062195,bfe,218,230
51300107800,ceb,225,98
51300115873,bfg,260,287
51300149730,gag,181,135
51300259717,fbb,9,204
51300276167,abc,179,28
51300290860,gbb,108,231
51300316944,bcg,113,102
51300350539,gea,298,282
51300364017,aeg,79,100
51300428639,bea,267,183
51300436598,afg,42,174
51300448840,dcg,120,233
51300461238,dgb,28,9
51300464482,fad,172,194
51300563274,ggc,283,176
51300588852,fad,49,155
51300715800,gac,102,297
51300716264,fdf,96,79
51300746290,dce,238,122
51300787041,cbg,203,51
51300842992,fgc,279,197
51300851311,fcg,88,185
51300919465,cfe,18,163
51300943695,cab,208,298
51300948484,cba,271,82
51300949846,dcg,189,246
51300958687,aef,283,111
51300996995,faf,35,123
51301003089,aed,268,120
51301015621,dca,233,19
51301020097,bfe,91,186
51301132249,egc,202,99
51301163337,efb,130,178
51301167818,dec,69,291
51301196807,ebf,256,69
51301250679,bae,131,207
51301255865,cfc,71,269
51301256433,ggg,235,202
51301271029,gaa,299,177
51301276709,dfe,80,119
51301340222,dec,186,328
51301355875,agf,130,101
51301361133,fae,131,107
51301363085,dff,250,84
51301390171,ffb,179,117
51301401067,fda,220,107
51301406754,fgc,93,157
51301412091,adf,273,165
51301422821,eeg,111,173
51301431424,ggc,85,149
51301454226,dcg,42,241
51301470107,aea,193,155
51301472433,bgc,13,132
51301474503,dba,233,171
51301474625,dda,271,241
51301491692,gea,100,253
51301550594,eef,225,61
51301578198,gcb,192,279
51301593556,dgb,140,9
51301621240,fda,261,102
51301655331,gfg,17,47
51301695474,efe,162,170
51301708730,ged,213,160
51301745710,gbe,141,215
51301745897,ggf,79,107
51301797597,abb,259,294
51301820793,gdf,251,262
51301836183,faa,166,255
51301841440,ffe,159,266
51301848073,feg,207,132
51301887749,cdb,192,231
51301894540,ffd,32,76
51301911318,dcg,297,279
51301916526,faf,112,131
51301955162,bac,275,202
51301969834,aaa,218,7
51301991754,gea,82,247
51302014412,edc,90,143
